date;open;close;index_return
04-01-21;1.824,90;1.839,13;1,01484359
05-01-21;1.835,56;1.816,48;0,987684394
06-01-21;1.827,63;1.808,83;0,995788558
07-01-21;1.822,37;1.828,69;1,010979473
08-01-21;1.844,16;1.844,56;1,008678344
11-01-21;1.834,47;1.827,23;0,990604805
12-01-21;1.830,34;1.799,14;0,984627004
13-01-21;1.794,27;1.806,79;1,004252032
14-01-21;1.806,16;1.812,07;1,00292231
15-01-21;1.808,21;1.791,66;0,988736638
18-01-21;1.783,56;1.802,72;1,006173046
19-01-21;1.812,59;1.823,21;1,011366158
20-01-21;1.827,01;1.826,55;1,001831934
21-01-21;1.834,61;1.827,79;1,000678875
22-01-21;1.827,39;1.822,02;0,996843182
25-01-21;1.833,10;1.825,26;1,001778246
26-01-21;1.815,84;1.802,47;0,987514108
27-01-21;1.796,85;1.759,90;0,976382409
28-01-21;1.736,25;1.777,30;1,009886925
29-01-21;1.752,51;1.743,08;0,980746076
01-02-21;1.755,51;1.772,23;1,016723271
02-02-21;1.781,03;1.800,22;1,015793661
03-02-21;1.816,15;1.810,91;1,005938163
04-02-21;1.811,00;1.800,07;0,994014059
05-02-21;1.809,37;1.815,39;1,00851078
08-02-21;1.820,80;1.808,21;0,996044927
09-02-21;1.804,22;1.794,44;0,992384734
10-02-21;1.791,48;1.763,57;0,982796861
11-02-21;1.765,57;1.807,39;1,024847327
12-02-21;1.818,43;1.833,33;1,014352187
15-02-21;1.849,13;1.848,77;1,008421833
16-02-21;1.852,12;1.850,55;1,000962802
17-02-21;1.842,03;1.839,20;0,993866688
18-02-21;1.838,64;1.814,00;0,986298391
19-02-21;1.817,14;1.812,53;0,999189636
22-02-21;1.804,07;1.778,44;0,981192035
23-02-21;1.778,44;1.746,82;0,982220373
24-02-21;1.739,46;1.740,09;0,996147285
25-02-21;1.756,84;1.759,40;1,011097127
26-02-21;1.740,94;1.736,97;0,987251336
01-03-21;1.758,08;1.765,24;1,016275468
02-03-21;1.767,32;1.753,69;0,99345698
03-03-21;1.757,04;1.710,41;0,97532061
04-03-21;1.701,83;1.687,79;0,986775101
05-03-21;1.679,78;1.664,85;0,986408262
08-03-21;1.686,71;1.683,88;1,011430459
09-03-21;1.691,03;1.738,97;1,032716108
10-03-21;1.741,13;1.754,83;1,009120341
11-03-21;1.755,99;1.776,81;1,01252543
12-03-21;1.773,76;1.758,18;0,989514917
15-03-21;1.772,12;1.771,11;1,007354196
16-03-21;1.779,46;1.795,14;1,013567763
17-03-21;1.790,18;1.760,94;0,980948561
18-03-21;1.770,79;1.769,27;1,004730428
19-03-21;1.754,96;1.776,25;1,00394513
22-03-21;1.769,61;1.789,52;1,007470795
23-03-21;1.787,57;1.779,63;0,994473378
24-03-21;1.770,69;1.759,96;0,988947141
25-03-21;1.752,12;1.761,54;1,000897748
26-03-21;1.773,73;1.798,27;1,020851073
29-03-21;1.805,52;1.811,14;1,007156879
30-03-21;1.819,16;1.813,62;1,001369303
31-03-21;1.814,52;1.840,25;1,014683341
06-04-21;1.856,55;1.846,96;1,003646244
07-04-21;1.854,68;1.829,25;0,99041127
08-04-21;1.832,23;1.862,80;1,01834085
09-04-21;1.865,59;1.879,68;1,009061628
12-04-21;1.883,89;1.857,15;0,988013917
13-04-21;1.859,19;1.874,40;1,009288426
14-04-21;1.881,31;1.859,86;0,992242851
15-04-21;1.866,82;1.874,05;1,007629607
16-04-21;1.877,15;1.894,36;1,010837491
19-04-21;1.894,61;1.883,32;0,994172174
20-04-21;1.882,41;1.859,03;0,987102564
21-04-21;1.867,98;1.880,41;1,011500621
22-04-21;1.882,24;1.922,91;1,022601454
23-04-21;1.924,06;1.920,39;0,998689486
26-04-21;1.930,86;1.924,40;1,002088118
27-04-21;1.939,46;1.949,77;1,01318333
28-04-21;1.954,38;1.941,73;0,995876437
29-04-21;1.950,30;1.926,15;0,991976227
03-05-21;1.933,18;1.929,48;1,001728837
04-05-21;1.939,21;1.891,50;0,98031594
05-05-21;1.906,56;1.931,25;1,021015067
06-05-21;1.936,93;1.908,88;0,988416828
07-05-21;1.927,73;1.940,51;1,016569926
10-05-21;1.940,69;1.933,82;0,996552453
11-05-21;1.914,58;1.883,02;0,973730751
12-05-21;1.882,23;1.874,47;0,995459422
17-05-21;1.903,63;1.900,66;1,013971949
18-05-21;1.913,15;1.914,15;1,007097535
19-05-21;1.896,81;1.901,94;0,99362119
20-05-21;1.911,85;1.938,18;1,019054229
21-05-21;1.944,99;1.960,06;1,011288941
25-05-21;1.964,15;1.966,73;1,003402957
26-05-21;1.966,31;1.965,10;0,999171213
27-05-21;1.964,92;1.944,14;0,989333876
28-05-21;1.941,59;1.969,87;1,013234644
31-05-21;1.974,35;1.955,87;0,992892932
01-06-21;1.960,58;1.971,22;1,00784817
