date,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,sentiment,count
12-02-01,32,31.7,5147250,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,1,1
13-02-01,31.7,31.4,4863600,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,0,0
14-02-01,31.5,31.9,4986750,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,0,0
15-02-01,32,32.7,8614550,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,0,0
16-02-01,32.4,32.9,7729650,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,1.5,2
19-02-01,32.9,33,10597200,0.102036722,0.109924537,0.135792889,0.102317126,0.129503367,0.101284179,0.118943062,0.093232617,0.106965502,1.5,0
20-02-01,32,33.4,14632450,0.135978108,0.110676152,0.117269713,0.091065032,0.137767395,0.106726757,0.09491405,0.098816896,0.106785896,1.75,4
21-02-01,33.4,35,19279800,0.135388217,0.105262639,0.119602027,0.104088341,0.136389509,0.096758281,0.104356631,0.087980299,0.110174057,2,1
22-02-01,35,34.5,11333650,0.088064113,0.120193726,0.088126137,0.103718092,0.087922449,0.183601076,0.135931626,0.088008007,0.104434773,-3,1
23-02-01,34.5,33.9,12787200,0.088064113,0.120193726,0.088126137,0.103718092,0.087922449,0.183601076,0.135931626,0.088008007,0.104434773,-3,0
26-02-01,33.8,33.36,11086250,0.142434893,0.092785158,0.111030577,0.106779224,0.107960067,0.092013927,0.126616125,0.108753417,0.111626614,-3,1
27-02-01,33.6,32.6,8140500,0.142434893,0.092785158,0.111030577,0.106779224,0.107960067,0.092013927,0.126616125,0.108753417,0.111626614,-3,0
28-02-01,32.3,31.9,6158150,0.135466707,0.099595889,0.098802059,0.097879423,0.133644029,0.098739377,0.099183826,0.098336586,0.138352104,2,1
01-03-01,31.8,32.6,6573400,0.135466707,0.099595889,0.098802059,0.097879423,0.133644029,0.098739377,0.099183826,0.098336586,0.138352104,2,0
02-03-01,33.4,32.52,8067700,0.109753901,0.10465526,0.09503647,0.111892161,0.119426639,0.096132734,0.114467445,0.103255032,0.145380359,2,2
05-03-01,32.4,33.4,3474750,0.109753901,0.10465526,0.09503647,0.111892161,0.119426639,0.096132734,0.114467445,0.103255032,0.145380359,2,0
06-03-01,33.8,33.5,4533650,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,1
07-03-01,33.1,33.5,4356250,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,0
08-03-01,33.5,34.2,8423850,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,0
09-03-01,34,33.9,11270100,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,0
12-03-01,33.6,33.66,5951400,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,0
13-03-01,33.1,33,8994700,0.126987817,0.099787754,0.100230038,0.129032733,0.093329511,0.095285963,0.13063745,0.112026245,0.112682489,-4,0
